Fact,Fact Note,Massachusetts,Population,Value Note for Massachusetts
"Population estimates, July 1, 2019,  (V2019)",,"6,892,503",,
"Population estimates base, April 1, 2010,  (V2019)",,"6,547,785",,
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,5.30%,,
"Population, Census, April 1, 2010",,"6,547,629",,
"Persons under 5 years, percent",,5.20%,,
"Persons under 18 years, percent",,19.60%,,
"Persons 65 years and over, percent",,17.00%,,
"Female persons, percent",,51.50%,,
"White alone, percent",,80.60%,,
"Black or African American alone, percent",(a),9.00%,620325.27,
"American Indian and Alaska Native alone, percent",(a),0.50%,34462.515,
"Asian alone, percent",(a),7.20%,496260.216,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,6892.503,
"Two or More Races, percent",,2.60%,179205.078,
"Hispanic or Latino, percent",(b),12.40%,854670.372,
"White alone, not Hispanic or Latino, percent",,71.10%,4900569.633,
"Veterans, 2015-2019",,"303,534",,
"Foreign born persons, percent, 2015-2019",,16.80%,,
"Housing units,  July 1, 2019,  (V2019)",,"2,928,732",,
"Owner-occupied housing unit rate, 2015-2019",,62.40%,,
"Median value of owner-occupied housing units, 2015-2019",,"$381,600",,
"Median selected monthly owner costs -with a mortgage, 2015-2019",,"$2,225",,
"Median selected monthly owner costs -without a mortgage, 2015-2019",,$812,,
"Median gross rent, 2015-2019",,"$1,282",,
"Building permits, 2019",,"17,365",,
"Households, 2015-2019",,"2,617,497",,
"Persons per household, 2015-2019",,2.52,,
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",,87.30%,,
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",,23.80%,,
"Households with a computer, percent, 2015-2019",,91.40%,,
"Households with a broadband Internet subscription, percent, 2015-2019",,86.40%,,
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",,90.80%,,
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",,43.70%,,
"With a disability, under age 65 years, percent, 2015-2019",,7.80%,,
"Persons  without health insurance, under age 65 years, percent",,3.50%,,
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",,67.20%,,
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",,63.40%,,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"17,508,975",,
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"63,583,090",,
"Total manufacturers shipments, 2012 ($1,000)",(c),"81,927,799",,
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"123,904,370",,
"Total retail sales, 2012 ($1,000)",(c),"92,915,380",,
"Total retail sales per capita, 2012",(c),"$13,980",,
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",,30.2,,
"Median household income (in 2019 dollars), 2015-2019",,"$81,215",,
"Per capita income in past 12 months (in 2019 dollars), 2015-2019",,"$43,761",,
"Persons in poverty, percent",,9.40%,,
"Total employer establishments, 2018",,"180,307",,
"Total employment, 2018",,"3,323,852",,
"Total annual payroll, 2018 ($1,000)",,"227,920,705",,
"Total employment, percent change, 2017-2018",,0.20%,,
"Total nonemployer establishments, 2018",,"573,754",,
"All firms, 2012",,"607,664",,
"Men-owned firms, 2012",,"357,158",,
"Women-owned firms, 2012",,"199,210",,
"Minority-owned firms, 2012",,"89,967",,
"Nonminority-owned firms, 2012",,"499,959",,
"Veteran-owned firms, 2012",,"58,339",,
"Nonveteran-owned firms, 2012",,"525,667",,
"Population per square mile, 2010",,839.4,,
"Land area in square miles, 2010",,"7,800.06",,
FIPS Code,,"""25""",,
,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,
,,,,
Value Notes,,,,
None,,,,
,,,,
Fact Notes,,,,
(a),Includes persons reporting only one race,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,
,,,,
Value Flags,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,
D,Suppressed to avoid disclosure of confidential information,,,
F,Fewer than 25 firms,,,
FN,Footnote on this item in place of data,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,
NA,Not available,,,
S,Suppressed; does not meet publication standards,,,
X,Not applicable,,,
Z,Value greater than zero but less than half unit of measure shown,,,
